name,customer_id,customer_tenure,number_of_services_or_products,average_monthly_usage,last_interaction_date,days_since_last_interaction,number_of_complaints,complaints_resolved_ratio,total_spent,average_transaction_value,outstanding_balance,payment_frequency,discount_or_offer_received,customer_support_calls,account_status,churn_flag
Oliver Smith,39998c76-9384-4637-b5c4-fed028722f7c,99,5,320.76,2025-01-30,160,5,0.38,1776.37,136.64,4469.96,Bi-Monthly,0,12,Closed,0
William Moore,a35b4fcc-a81c-48cb-9130-976cd514a42d,59,5,110.67,2025-05-20,50,1,0.2,5938.11,1187.62,4665.93,Quarterly,0,3,Active,0
Sophia Miller,56150eb8-e672-407d-9032-7a5b9e492730,77,6,303.79,2024-11-30,221,8,0.39,5682.55,437.12,3160.47,Monthly,1,8,Closed,1
James Brown,1a5c8c08-a114-4ab3-a4ee-36709836a23d,85,6,304.19,2024-09-24,288,10,0.03,2668.66,205.28,1477.49,Monthly,1,14,Active,0
Oliver Moore,716fd87b-1823-4003-8297-3ea719f189e2,38,8,493.18,2024-09-25,287,5,0.58,4689.55,521.06,560.27,Monthly,1,11,Active,0
Ava Taylor,e197436c-7091-422a-bdb4-b18fd562aa6e,72,3,450.73,2025-07-05,4,9,0.7,5058.92,389.15,4755.3,Monthly,1,11,Suspended,0
Sophia Davis,3d94a067-1b32-4a9c-8ab4-cfd9d35e3fa0,115,1,453.21,2024-08-15,328,8,0.02,4784.91,434.99,1917.85,Monthly,0,0,Suspended,1
Noah Taylor,063ea746-6761-46de-921d-543db5191fdb,7,6,462.16,2025-06-07,32,8,0.48,5015.67,1003.13,2996.86,Monthly,1,13,Closed,1
Noah Brown,c9c20c1c-a261-4ad0-9ba8-aaa0c8e443f8,89,2,235.15,2025-01-20,170,3,0.95,1581.45,105.43,2601.25,Bi-Monthly,1,6,Active,0
Isabella Miller,ad493c36-3bdf-4a8d-9d59-267caf4e04b0,73,3,451.08,2025-03-26,105,7,0.12,8923.1,991.46,2581.72,Quarterly,1,6,Active,0
James Jones,58fd18bb-36be-4dd1-9495-590579127c98,57,2,223.09,2024-08-18,325,4,0.29,1343.51,103.35,2818.35,Bi-Monthly,0,2,Active,0
James Moore,8758c31a-6736-4b48-b711-73ba72411aa6,116,1,387.53,2024-11-24,227,8,0.01,4200.62,840.12,1747.59,Quarterly,1,15,Active,0
Isabella Wilson,efecb8e7-daa8-4041-a6e7-ee1885911c03,70,6,290.2,2025-05-20,50,10,0.63,6563.9,437.59,2328.94,Bi-Monthly,0,5,Suspended,1
Ava Wilson,fcffef8d-6515-4b64-af7c-851ecd37921e,77,4,154.95,2025-03-16,115,2,0.96,7774.06,518.27,1795.64,Bi-Monthly,0,7,Active,0
Isabella Davis,d4480a08-4a20-49bd-9e17-c95538f2bfde,114,4,106.07,2024-07-29,345,3,0.18,1080.39,108.04,1540.51,Monthly,1,6,Suspended,0
Oliver Jones,5f9abef9-bff4-457c-ba92-59d26365cf4b,87,5,447.3,2024-07-29,345,10,0.56,1355.34,112.94,2335.02,Bi-Monthly,1,4,Suspended,1
James Williams,d2be4c9c-3dd0-4d98-9ec0-4b7de7e712dc,2,7,355.95,2024-10-02,280,7,0.81,5049.24,420.77,3471.7,Monthly,0,15,Closed,0
Liam Johnson,14f2f6cf-83b8-4a91-816e-16a417ab80be,92,7,200.44,2025-02-23,136,2,0.1,1039.95,86.66,4593.22,Bi-Monthly,1,12,Active,0
Liam Taylor,e6ae2454-c96e-45cd-95d3-e72636144aed,55,6,273.01,2024-10-04,278,4,0.59,6592.42,1098.74,688.64,Quarterly,0,14,Active,0
Noah Miller,ce2f6302-9621-4a2d-9833-70229521f215,58,5,274.46,2024-07-27,347,6,0.29,1003.6,100.36,4490.45,Bi-Monthly,0,5,Active,0
Sophia Wilson,3c2cf278-7226-40a7-be24-06709105ba4b,56,4,188.39,2025-01-29,161,9,0.24,6045.56,403.04,1644.01,Quarterly,0,2,Active,0
Ava Moore,24b79ae9-04d0-45f8-85f3-c1bec69d30c8,95,4,244.12,2025-02-09,150,9,0.66,2088.84,189.89,1363.43,Monthly,0,6,Suspended,1
William Taylor,e08a950e-0d3e-4a0f-a4a6-74ca8adff8ed,105,7,118.52,2024-08-06,337,9,0.6,6831.27,853.91,4832.98,Monthly,0,8,Closed,0
Sophia Brown,14096bc4-eb5e-4d9a-bcb0-49c182565e75,93,3,280.37,2024-08-19,324,2,0.37,2837.81,218.29,4026.07,Bi-Monthly,0,12,Suspended,0
Olivia Jones,df65143f-ea07-4557-bc86-9ad62c0b4f41,51,2,358.52,2025-01-16,174,0,0.0,8672.13,578.14,2744.45,Quarterly,1,3,Closed,0
James Miller,2affdae8-b5da-427c-9d3d-48362120319c,6,6,177.01,2025-05-10,60,10,0.11,1744.2,116.28,1950.96,Bi-Monthly,1,11,Active,0
Isabella Taylor,61eba694-f708-41bd-976b-52aa747bf9d4,47,8,232.95,2024-10-07,275,8,0.52,9274.06,1545.68,63.9,Bi-Monthly,1,5,Suspended,0
Liam Brown,0a47aa9b-e098-415d-aa34-0370d34c8d00,5,8,322.91,2024-11-07,244,8,0.4,2432.23,405.37,2850.85,Bi-Monthly,0,6,Suspended,1
Isabella Moore,7a3b0507-4416-4d07-a60c-d7cf30e2e795,30,2,407.73,2024-11-10,241,9,0.39,5856.1,585.61,4282.98,Monthly,1,0,Closed,0
Emma Wilson,b43602c3-fb45-444f-8e1d-9d241c07e90f,82,2,107.43,2025-04-17,83,1,0.72,3532.23,271.71,2159.61,Quarterly,0,15,Suspended,0
Ava Moore,afdaff96-a7bc-4d28-94da-a4fd6dea1379,28,3,153.09,2024-09-15,297,2,0.71,2088.45,298.35,1941.14,Bi-Monthly,0,12,Suspended,0
Noah Davis,d9864f26-c2c1-409c-bf77-02becee19d38,7,4,464.96,2025-05-24,46,6,0.11,5023.43,418.62,1363.63,Monthly,1,11,Closed,0
Liam Wilson,ddfd931f-c8f4-4fce-8b33-c538778b0f0b,112,7,417.07,2025-04-05,95,4,0.5,1773.1,197.01,3916.87,Monthly,0,3,Closed,1
Ava Brown,de7d6f88-993e-4660-ae8b-6684692952d1,104,6,166.97,2025-05-14,56,6,0.96,5854.36,650.48,3910.4,Quarterly,1,2,Suspended,1
Noah Jones,f8e00231-d15d-47f8-a1c5-fa4bbff4e7f1,111,7,355.5,2025-01-16,174,9,0.27,5739.64,819.95,1880.32,Monthly,0,12,Active,0
Isabella Miller,42299fdd-446f-4bde-bc42-aba5896db91b,28,6,386.48,2024-10-21,261,0,0.0,6346.49,576.95,4480.65,Quarterly,0,2,Suspended,1
Oliver Miller,5be55e2d-6027-47fa-aa6a-dcd6a03a8170,13,3,237.35,2025-05-06,64,8,0.5,4099.25,372.66,335.88,Monthly,1,14,Suspended,0
Ava Jones,362dfe3b-130c-462b-b430-017911c07207,1,1,136.37,2024-11-10,241,10,0.53,8787.68,585.85,1033.37,Bi-Monthly,1,4,Closed,0
James Smith,e0b56ddb-acc7-492d-900e-938bbc8d10cb,107,6,484.45,2024-11-28,223,2,0.22,8333.7,1190.53,3691.44,Monthly,1,11,Suspended,0
William Jones,762b5d9b-ccca-46d5-856e-6ca26a051260,100,8,157.23,2025-04-13,87,1,0.97,2484.52,225.87,1214.27,Monthly,0,9,Suspended,1
Emma Smith,9c1fc74a-970c-441a-bcb7-9fdcb29c431b,105,2,210.84,2025-02-23,136,1,0.32,2180.38,436.08,869.46,Quarterly,0,0,Suspended,0
Olivia Moore,6ed576b4-d731-45ed-aac3-c4b4f618417e,81,3,457.77,2024-07-20,354,2,0.25,7239.7,904.96,949.73,Bi-Monthly,0,6,Suspended,0
Ava Williams,7c637af1-f327-4d4d-8e08-c6478208a8eb,66,5,452.45,2025-02-03,156,4,0.98,4894.24,489.42,1515.87,Monthly,1,6,Active,0
Ava Taylor,e2b1435d-d95b-44fc-91b7-e145e0bbdb41,86,1,158.66,2025-03-19,112,10,0.15,5683.76,568.38,1722.98,Bi-Monthly,0,10,Closed,0
Isabella Davis,12d98901-6e70-4e65-9cbe-32f34fa95f48,108,2,335.29,2025-05-29,41,6,0.34,2427.65,303.46,671.06,Bi-Monthly,1,4,Active,0
William Taylor,c925fd52-e6a0-47ba-885f-4d02a4128ae8,52,1,426.51,2024-10-31,251,2,1.0,9395.76,1043.97,2616.85,Bi-Monthly,0,0,Active,0
Liam Brown,8e9fbda2-9db7-4b57-a19c-b8a5739e0ed2,95,5,346.73,2024-12-05,216,5,0.55,4044.63,288.9,819.36,Bi-Monthly,0,10,Closed,1
Isabella Jones,d481bbd2-d1cc-4bad-940e-ca5e811abfda,66,6,129.76,2025-05-06,64,4,0.12,9026.14,752.18,2756.23,Quarterly,0,14,Suspended,0
Sophia Davis,1809d04c-5f45-4ece-81fe-acc59d6e8758,94,3,490.05,2024-12-12,209,1,0.61,3821.72,545.96,1081.7,Quarterly,0,11,Suspended,1
Liam Miller,5ae495ac-7986-4d24-b627-e9792262e1e1,4,7,347.28,2025-02-12,147,7,0.36,1955.6,325.93,4223.6,Bi-Monthly,0,1,Active,0
Oliver Moore,550eaec2-5bcd-4e54-ab45-0255663dd3c3,28,7,443.08,2024-09-22,290,1,0.34,7029.9,1171.65,4309.66,Quarterly,0,10,Active,0
Sophia Miller,262eba6f-feaf-4798-a2c3-0f7d10482244,76,5,377.57,2025-01-12,178,9,0.73,2572.99,183.78,2262.74,Monthly,1,13,Active,0
James Taylor,ec919145-42ca-4c57-bc5a-48b58af920dc,33,5,258.75,2024-12-06,215,5,0.59,1395.25,139.53,3617.8,Quarterly,0,14,Active,0
Olivia Brown,5c1e76b7-d787-4169-af15-753f122bbfe2,109,4,400.06,2024-07-23,351,0,0.0,6963.04,773.67,2348.42,Bi-Monthly,0,11,Active,0
James Smith,0164aa1b-0253-4b0b-b1f5-5492b18b7505,67,7,153.23,2025-02-12,147,10,0.95,8806.59,677.43,1451.89,Monthly,1,3,Active,0
Noah Jones,a05f9c76-7c1d-46dc-a2d9-e7d5dd313e54,79,4,495.08,2024-12-27,194,0,0.0,3011.51,250.96,3420.6,Quarterly,1,7,Active,0
Ava Brown,7ce0e0fe-a826-47b3-beda-eeace9971413,38,3,469.45,2025-03-09,122,5,0.21,4050.68,337.56,734.39,Monthly,0,1,Suspended,1
Sophia Brown,4400251b-4155-48d7-a976-6b42219484e4,58,5,108.17,2025-02-12,147,9,0.68,1142.75,190.46,1877.06,Quarterly,0,4,Active,0
William Brown,24ffbaad-5948-4625-a785-b76fe960f405,65,7,396.21,2025-05-10,60,10,0.27,7801.93,1300.32,3977.92,Bi-Monthly,1,10,Active,0
Noah Taylor,7e708f6f-8ed7-47a3-9441-290556924e77,30,2,378.36,2024-11-12,239,9,0.36,9355.79,850.53,1013.63,Quarterly,0,5,Closed,1
Ava Jones,71a7e92a-b5c8-4e25-a4d1-463ca9892610,1,2,318.31,2024-08-10,333,4,0.79,7742.31,967.79,2633.66,Monthly,1,15,Suspended,1
James Davis,54d16713-b289-4507-909f-49d5e47ea207,80,3,439.78,2025-02-10,149,8,0.22,7855.53,1571.11,1666.95,Bi-Monthly,1,4,Suspended,1
Oliver Moore,41bbaa0e-1b20-4a29-93c0-417d0e844495,57,5,267.57,2024-11-04,247,9,0.08,9830.18,819.18,562.36,Monthly,1,10,Active,0
Noah Smith,ab956ef3-603c-4bfd-bbcf-1302d55ce893,106,5,424.16,2024-10-16,266,6,0.48,7073.29,884.16,2409.79,Quarterly,0,1,Active,0
William Davis,64c38ef4-b5b5-4e1a-8c57-25d8a174bb5a,65,4,184.15,2025-06-24,15,9,0.76,4070.54,814.11,3440.18,Quarterly,0,8,Closed,1
Isabella Jones,eb39f093-157c-4ed6-91f2-4ac3484f5616,76,5,170.57,2025-04-12,88,2,0.33,2186.88,145.79,368.87,Monthly,0,15,Closed,0
William Johnson,ccac219a-7529-4c9c-b8a1-b224aa398c15,71,6,401.44,2024-08-18,325,2,0.13,4100.15,820.03,3861.29,Bi-Monthly,1,2,Active,0
Isabella Miller,78af6007-6b1b-4e3d-a306-d80c4894079b,112,1,250.59,2024-07-28,346,0,0.0,5237.49,872.91,4677.12,Bi-Monthly,0,0,Closed,0
Ava Davis,9b06d802-8d96-4c42-b5d8-35d8d5854036,101,8,492.97,2025-03-23,108,2,0.3,7130.99,792.33,4116.93,Quarterly,1,1,Suspended,1
Sophia Moore,cf617c20-9e3d-4d2e-b9ce-785ff165dd8f,53,1,312.24,2025-02-22,137,1,0.62,6081.97,608.2,4171.24,Monthly,1,12,Active,0
Olivia Jones,41a62c59-c099-4c6e-9d77-9733d275b11b,63,1,430.62,2024-08-05,338,2,0.85,2804.41,350.55,1247.46,Quarterly,0,11,Closed,0
Ava Davis,247e8f8e-dba8-4863-943a-e2bf90c28534,41,8,425.92,2025-04-21,79,4,0.39,7989.77,726.34,2268.12,Quarterly,0,1,Active,0
Olivia Davis,5dd89001-2da9-44ec-899b-ebd38bb6f20f,2,8,397.48,2024-08-01,342,1,0.46,2631.14,175.41,4924.68,Bi-Monthly,1,3,Suspended,1
Olivia Smith,a2af189d-ec4c-4b88-9c7b-2382b847adfb,114,7,462.81,2024-11-25,226,9,0.68,6013.52,501.13,3195.72,Bi-Monthly,0,3,Active,0
William Taylor,f51915f7-5b73-49a6-9dc5-686a3e45308d,34,2,259.46,2024-07-28,346,8,0.48,8361.99,597.28,419.02,Monthly,1,0,Suspended,1
Olivia Miller,59d011ca-d4fb-4112-87fc-fdbabe9b3abd,79,4,141.98,2024-09-17,295,1,0.65,1469.5,104.96,21.08,Monthly,0,9,Active,0
Sophia Williams,1e4f3584-7a96-4bd2-857b-de68ac71ec78,15,7,280.23,2024-09-07,305,2,0.69,9588.45,684.89,3282.23,Monthly,1,4,Closed,0
Olivia Moore,74933c1b-74f7-49b1-abc8-cb48b4c4d48f,15,1,327.48,2025-02-23,136,5,0.2,9841.92,1093.55,3876.49,Monthly,1,5,Active,0
James Wilson,511b7b12-d87b-4e7d-8b09-806bc2e99761,83,2,179.6,2025-03-02,129,3,0.42,3459.18,384.35,3977.01,Bi-Monthly,0,1,Suspended,0
William Miller,5e3a9e56-194a-4a5a-9da7-c9ae78ae94af,83,3,424.0,2025-01-17,173,4,0.79,8756.05,875.6,4035.03,Quarterly,1,8,Active,0
Sophia Wilson,90067166-4672-4c95-ab02-6a8d4293570c,67,8,491.85,2025-01-31,159,6,0.39,2555.99,196.61,2927.7,Quarterly,1,5,Closed,0
Ava Williams,16042d15-5aee-4527-9611-45525112f9f5,12,8,451.8,2024-07-17,357,4,0.63,8645.48,617.53,936.92,Monthly,1,2,Active,0
Olivia Williams,18edd04f-8c38-4d9f-88fb-806581fe1070,31,3,143.03,2025-05-05,65,10,0.5,6521.28,434.75,3948.37,Quarterly,1,14,Suspended,0
Isabella Davis,09c35c34-84b6-42ed-9912-0373f5124832,87,1,426.88,2025-01-10,180,6,0.27,1828.96,304.83,572.74,Bi-Monthly,0,3,Closed,1
Noah Taylor,65f57f87-59d8-425f-99aa-d51d2821884c,22,4,100.55,2025-05-21,49,2,0.19,2100.77,300.11,1726.27,Monthly,1,3,Active,0
Sophia Brown,3f13378c-52e0-4ca4-9471-534487fadbcb,5,7,351.81,2024-09-23,289,6,0.19,7875.38,984.42,1802.47,Monthly,0,3,Suspended,0
James Brown,ec7e2c24-7b40-424d-8ee9-46f64b2c71b4,5,5,187.17,2024-11-02,249,3,0.02,5326.01,355.07,3935.95,Quarterly,1,8,Closed,0
Emma Miller,c3e02826-7793-4a10-a7c3-03f1fd24eab0,73,6,159.19,2025-03-02,129,5,0.54,9489.27,948.93,2940.74,Monthly,0,2,Active,0
Olivia Taylor,84e6065f-143a-4865-80f7-023ac9f486d0,89,3,128.5,2024-07-10,364,9,0.89,1744.41,193.82,3031.34,Quarterly,0,14,Closed,0
Sophia Jones,88188212-0045-4f8e-8640-584ea5f4d13d,12,7,366.62,2024-09-21,291,1,0.07,5237.75,872.96,4658.89,Quarterly,0,2,Suspended,0
Noah Smith,4e861019-abcc-4c4f-bd23-99e93be890da,87,8,456.46,2025-01-31,159,5,0.2,2731.21,546.24,4404.11,Quarterly,0,0,Suspended,1
Liam Johnson,59345383-1dd1-483d-8e9a-a92311a9e009,34,5,114.18,2024-08-25,318,2,0.19,1973.8,246.72,3816.49,Bi-Monthly,0,0,Closed,1
Isabella Jones,cb3ba3d6-2ca5-4dcc-bb23-59d6373ba8aa,80,5,321.1,2024-09-10,302,0,0.0,8741.65,1456.94,1305.78,Bi-Monthly,1,13,Active,0
Emma Smith,7a095ced-e960-4fba-b16b-d008942505e5,45,7,318.71,2024-07-21,353,10,0.99,2018.37,168.2,4104.22,Quarterly,1,0,Active,0
Liam Jones,457b4952-1436-4909-8be0-b81f00722d42,69,2,193.95,2025-02-10,149,3,0.33,1251.96,178.85,2562.4,Monthly,0,0,Closed,1
Noah Jones,ae4a60cb-0000-4aca-825f-af6072fadedc,39,5,200.27,2025-04-03,97,6,0.41,1398.52,233.09,2647.61,Quarterly,1,2,Closed,1
Noah Brown,5b9ae9d7-da1a-4b90-a303-5d5c519a66dc,22,8,401.08,2025-03-30,101,7,0.91,6185.76,618.58,231.55,Bi-Monthly,0,8,Suspended,0
Ava Miller,62f753bc-72c1-45a4-b2eb-1982eb0de420,9,6,394.35,2024-08-08,335,0,0.0,4137.29,344.77,3171.58,Quarterly,1,10,Closed,1
Oliver Davis,4b7131f8-cf2a-4b5a-94c9-2a80f34ae678,22,8,385.66,2024-11-27,224,9,0.41,7683.3,548.81,3683.07,Quarterly,1,7,Suspended,1
William Miller,70c8a8c8-1f1d-4e9e-8198-cdddbb703890,38,7,477.94,2024-08-06,337,10,0.97,5418.84,492.62,2743.46,Bi-Monthly,0,15,Closed,0
Oliver Miller,d3d0c875-3394-45ee-aaa6-9cc0f62d975c,14,5,372.37,2024-11-05,246,9,0.43,9742.91,1391.84,2059.68,Monthly,1,14,Suspended,1
Oliver Jones,74a92b17-8dfa-4b59-b85b-420da431a85c,2,1,379.05,2024-10-15,267,0,0.0,4704.06,427.64,680.6,Quarterly,1,9,Closed,1
Noah Davis,ee561cb3-1bd5-4dc7-83ce-c2e0966d4d38,94,8,123.5,2025-03-14,117,2,0.19,6203.55,886.22,3759.55,Quarterly,0,9,Closed,1
Isabella Smith,113a536e-714b-4ba8-9133-9f0314bebe68,37,2,171.11,2024-08-03,340,9,0.61,6840.2,456.01,2353.5,Bi-Monthly,0,11,Suspended,0
James Smith,2aa25972-dc42-448b-845d-734d02f60a77,75,2,374.14,2025-01-27,163,8,0.55,4725.84,675.12,4153.53,Monthly,0,13,Active,0
William Williams,31b1816b-0052-4593-84c7-7e787a746b07,36,1,216.13,2024-10-29,253,3,0.49,7221.1,656.46,326.58,Quarterly,0,12,Active,0
Sophia Moore,1ac61526-407b-47ba-98b4-e0bf03f0cdbf,51,6,259.48,2025-06-19,20,6,0.94,1582.35,158.23,2063.16,Bi-Monthly,0,9,Closed,1
Emma Davis,5a02278c-d1e9-4ac2-ac1f-b9d9eb8e3a4e,28,5,291.75,2024-12-13,208,6,0.07,2215.59,201.42,2834.05,Bi-Monthly,0,5,Active,0
James Miller,9287dac4-7592-438d-9f85-b89f39c6cc8e,108,8,352.71,2024-12-04,217,0,0.0,3991.81,798.36,2036.51,Quarterly,0,2,Closed,0
Emma Smith,a84da38a-9b9c-414c-9441-948a362abf11,15,1,370.82,2025-03-24,107,9,0.75,4662.31,582.79,4750.57,Quarterly,0,15,Suspended,1
Isabella Taylor,15c84a7f-06af-41a2-b7ac-47ee90be369e,44,2,424.16,2024-11-12,239,8,0.79,3077.25,512.88,1606.77,Bi-Monthly,0,12,Closed,0
Liam Smith,965409cf-4e1b-48c0-b9e3-c35e5c2e648b,50,6,158.44,2025-02-14,145,9,0.03,4040.35,448.93,33.98,Quarterly,0,1,Active,0
Noah Miller,8c9cd33c-84b6-4aaf-9c6c-7a43656dac7a,43,6,408.14,2024-09-01,311,9,0.66,1071.37,97.4,3477.01,Quarterly,0,3,Closed,1
Emma Johnson,40367fe4-64b1-433c-8db2-35802b42719c,41,2,232.93,2024-09-25,287,10,0.99,7101.82,1420.36,143.17,Quarterly,0,8,Active,0
James Davis,6bc63cfc-c20d-4bcd-8dc4-8bad317ed6ce,20,4,482.11,2025-05-07,63,9,0.63,8640.06,617.15,2863.52,Monthly,1,2,Closed,0
Olivia Brown,e0aac840-8c7e-4a00-ab69-c139c1b4e4f8,106,2,214.87,2024-11-30,221,7,0.85,3092.97,237.92,2140.63,Bi-Monthly,1,13,Active,0
Olivia Taylor,8650114b-910a-47a7-a72a-b35ee3e4d18b,20,1,343.37,2025-03-15,116,3,0.2,6445.65,1289.13,3611.75,Quarterly,0,14,Closed,0
Sophia Miller,e9734dcb-e013-446a-bdf3-dba03a8bb873,93,3,490.14,2024-10-17,265,3,0.73,5595.53,699.44,771.28,Quarterly,1,6,Active,0
Liam Williams,796e911c-b5e2-4b01-a683-6138f3b79bf1,18,8,167.48,2024-12-04,217,8,0.87,9582.08,737.08,2912.78,Bi-Monthly,0,5,Closed,1
William Taylor,28022b51-6386-4e8c-8d16-aa9b6cb1fbe0,99,4,222.57,2025-03-01,130,8,0.79,4752.78,678.97,941.56,Quarterly,1,15,Closed,0
Emma Johnson,df2c51a4-9ef2-461f-93ee-8b73b83bd06a,83,8,109.33,2024-09-14,298,8,0.09,6735.71,481.12,731.81,Monthly,0,13,Closed,1
Sophia Davis,8b1a974a-b7d8-4053-a50f-33203e6759f4,77,4,107.28,2024-12-15,206,5,0.22,9768.03,697.72,4949.14,Quarterly,0,4,Active,0
William Taylor,6bbec2cf-e8ae-4210-b39a-d80822eaf436,73,5,226.76,2025-04-24,76,8,0.67,3286.97,657.39,4285.55,Quarterly,0,10,Active,0
Olivia Wilson,322cc715-be19-45c1-a6b0-fe640a071a39,20,7,320.83,2025-03-19,112,9,0.1,2184.32,168.02,1252.99,Bi-Monthly,0,5,Closed,0
Ava Moore,be7d1c1c-b4ed-49f7-85d3-5d4800c017c5,48,6,319.07,2025-01-13,177,0,0.0,2914.64,224.2,78.3,Quarterly,0,8,Closed,1
Ava Wilson,6040f706-cb44-4cf2-abc5-a9b77f7d67b3,112,3,398.75,2024-10-23,259,9,0.83,7439.35,826.59,1985.13,Quarterly,1,0,Closed,0
Liam Brown,007b6a01-59b1-4238-aeac-b97d91a467e4,10,6,317.78,2024-11-05,246,0,0.0,8882.03,1480.34,2999.64,Quarterly,1,4,Closed,1
Noah Smith,ee6d39fc-2fec-44ad-a8c1-74b91cd3753a,26,2,197.63,2025-04-01,99,4,0.55,3255.09,651.02,2835.96,Monthly,0,9,Suspended,1
Ava Davis,f4f7fd8c-f0d2-443c-a1dc-ce8472c68ce6,65,7,426.23,2024-07-21,353,9,0.37,5068.71,422.39,699.25,Bi-Monthly,0,3,Active,0
Noah Williams,a6148d75-83af-4fd7-8dc7-9a0834adbddf,106,6,332.35,2025-04-01,99,10,0.27,9712.36,1387.48,2153.58,Quarterly,0,3,Suspended,1
James Williams,4fe0d758-c681-4f96-8344-3714353f5f12,40,2,393.28,2024-09-26,286,4,0.62,7860.34,1310.06,3574.25,Bi-Monthly,1,12,Closed,1
James Jones,c94cc7d8-6a95-46d1-8124-8c6d30653a6b,84,7,413.09,2025-04-30,70,7,0.65,3706.87,308.91,232.82,Bi-Monthly,1,13,Closed,1
Isabella Miller,2ebff89e-9be5-4bb1-a969-c3451be75604,11,2,179.51,2024-08-25,318,7,0.21,5668.61,515.33,1610.58,Quarterly,1,10,Closed,1
Isabella Jones,2deb228f-ed3b-44ae-8d7f-d40cdb61818e,112,1,449.19,2024-10-08,274,10,0.75,6497.62,928.23,4930.65,Quarterly,0,11,Closed,1
Noah Moore,8bf1520e-46ee-401e-9cfb-513d3ce647df,78,6,154.19,2025-01-10,180,8,0.88,7744.94,1548.99,3305.49,Monthly,0,12,Suspended,1
Sophia Wilson,d528c0f8-2a08-4bfc-9748-8766b0593628,66,2,438.46,2025-05-04,66,1,0.1,5320.11,483.65,1283.68,Quarterly,0,9,Closed,0
Sophia Jones,756308c4-1476-4cde-bb2f-6bfdbdaaf54d,19,5,222.58,2025-04-08,92,3,0.38,9855.88,1231.98,3868.71,Quarterly,1,8,Suspended,1
Oliver Brown,16cb9409-7137-4555-94b5-7f24bd82c9b5,100,4,384.19,2024-07-13,361,3,0.42,8682.8,1447.13,2708.46,Bi-Monthly,0,2,Closed,0
Noah Davis,c0f71d07-9897-48e7-9075-1ed30db13b9f,87,3,376.02,2024-12-12,209,5,0.43,5676.71,378.45,4527.83,Bi-Monthly,1,15,Active,0
Olivia Brown,a8bc7106-2d07-4ffe-a6e3-cbf49a0320e0,8,2,427.48,2024-11-16,235,1,0.21,6077.11,552.46,3794.01,Quarterly,0,9,Closed,1
Sophia Johnson,c3f343be-e2cc-4c4d-84c8-e1aa4806e266,22,8,419.23,2025-01-03,187,7,0.44,7196.51,1028.07,2585.2,Quarterly,1,6,Active,0
